????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
?? ??????? ??,1397/01/27,24,23,44,10,33,59,59,,1,,,,
?? ??????? ??,1397/01/28,26,18,53,9,35,61,61,,1,,,,
?? ??????? ??,1397/01/29,24,33,56,12,52,107,107,,,1,,,
?? ??????? ??,1397/01/30,33,43,61,13,48,91,91,,1,,,,
?? ??????? ??,1397/01/31,37,45,71,12,55,97,97,,1,,,,
?? ??????? ??,1397/02/01,36,51,68,12,52,75,75,,1,,,,
?? ??????? ??,1397/02/02,26,33,57,10,77,106,106,,,1,,,
?? ??????? ??,1397/02/03,26,30,44,9,66,94,94,,1,,,,
?? ??????? ??,1397/02/04,33,22,76,10,43,73,73,,1,,,,
?? ??????? ??,1397/02/05,31,43,70,10,47,73,73,,1,,,,
?? ??????? ??,1397/02/06,23,52,72,6,45,56,56,,1,,,,
?? ??????? ??,1397/02/07,20,38,55,9,52,64,64,,1,,,,
?? ??????? ??,1397/02/08,25,36,52,9,52,69,69,,1,,,,
?? ??????? ??,1397/02/09,25,42,57,10,79,111,111,,,1,,,
?? ??????? ??,1397/02/10,23,40,58,11,51,72,72,,1,,,,
?? ??????? ??,1397/02/11,26,40,59,11,39,75,75,,1,,,,
?? ??????? ??,1397/02/12,30,36,66,6,52,83,83,,1,,,,
?? ??????? ??,1397/02/13,26,53,60,6,50,71,71,,1,,,,
?? ??????? ??,1397/02/14,23,44,54,4,52,66,66,,1,,,,
?? ??????? ??,1397/02/15,23,40,65,3,42,58,58,,1,,,,
?? ??????? ??,1397/02/16,29,43,74,4,49,74,74,,1,,,,
?? ??????? ??,1397/02/17,27,42,70,5,65,81,81,,1,,,,
?? ??????? ??,1397/02/18,31,39,75,5,86,108,108,,,1,,,
?? ??????? ??,1397/02/19,22,36,57,5,60,83,83,,1,,,,
?? ??????? ??,1397/02/20,26,26,48,3,30,48,48,1,,,,,
?? ??????? ??,1397/02/21,21,47,55,3,41,51,51,,1,,,,
?? ??????? ??,1397/02/22,18,47,62,3,42,50,50,1,,,,,
?? ??????? ??,1397/02/23,26,38,69,4,78,94,94,,1,,,,
?? ??????? ??,1397/02/24,19,42,61,4,67,82,82,,1,,,,
?? ??????? ??,1397/02/25,24,46,60,4,52,65,65,,1,,,,
?? ??????? ??,1397/02/26,16,51,62,4,46,54,54,,1,,,,
?? ??????? ??,1397/02/27,14,47,54,4,35,43,47,1,,,,,
?? ??????? ??,1397/02/28,18,54,64,4,39,54,54,,1,,,,
?? ??????? ??,1397/02/29,20,81,70,4,44,56,81,,1,,,,
?? ??????? ??,1397/02/30,19,67,74,5,46,56,67,,1,,,,
?? ??????? ??,1397/02/31,22,91,78,5,46,59,91,,1,,,,
?? ??????? ??,1397/03/01,19,76,68,5,52,61,76,,1,,,,
?? ??????? ??,1397/03/02,21,52,66,5,48,62,62,,1,,,,
?? ??????? ??,1397/03/03,20,49,50,4,36,41,49,1,,,,,
?? ??????? ??,1397/03/04,27,47,56,5,57,61,61,,1,,,,
?? ??????? ??,1397/03/05,13,59,47,5,70,87,87,,1,,,,
?? ??????? ??,1397/03/06,22,50,60,5,98,118,118,,,1,,,
?? ??????? ??,1397/03/07,20,71,52,6,67,75,75,,1,,,,
?? ??????? ??,1397/03/08,26,80,71,5,78,86,86,,1,,,,
?? ??????? ??,1397/03/09,20,115,75,5,79,74,115,,,1,,,
?? ??????? ??,1397/03/10,24,53,50,4,73,69,73,,1,,,,
?? ??????? ??,1397/03/11,17,47,46,4,67,78,78,,1,,,,
?? ??????? ??,1397/03/12,22,31,61,4,62,79,79,,1,,,,
?? ??????? ??,1397/03/13,18,44,45,4,52,66,66,,1,,,,
?? ??????? ??,1397/03/14,26,49,56,4,40,50,50,1,,,,,
?? ??????? ??,1397/03/15,22,105,71,4,45,59,105,,,1,,,
?? ??????? ??,1397/03/16,19,48,39,4,55,58,58,,1,,,,
?? ??????? ??,1397/03/17,21,67,66,5,49,63,67,,1,,,,
?? ??????? ??,1397/03/18,22,61,56,4,43,48,61,,1,,,,
?? ??????? ??,1397/03/19,24,122,70,5,42,54,122,,,1,,,
?? ??????? ??,1397/03/20,20,73,54,5,59,56,73,,1,,,,
?? ??????? ??,1397/03/21,24,83,68,7,64,68,83,,1,,,,
?? ??????? ??,1397/03/22,18,85,59,5,62,60,85,,1,,,,
?? ??????? ??,1397/03/23,18,62,59,5,47,57,62,,1,,,,
?? ??????? ??,1397/03/24,24,56,69,5,56,64,64,,1,,,,
?? ??????? ??,1397/03/25,20,80,54,6,51,66,80,,1,,,,
?? ??????? ??,1397/03/26,28,117,48,7,48,68,117,,,1,,,
?? ??????? ??,1397/03/27,17,88,58,5,49,64,88,,1,,,,
?? ??????? ??,1397/03/28,21,83,63,5,43,58,83,,1,,,,
?? ??????? ??,1397/03/29,31,58,52,6,66,79,79,,1,,,,
?? ??????? ??,1397/03/30,22,58,61,6,64,77,77,,1,,,,
?? ??????? ??,1397/03/31,35,98,86,7,62,83,98,,1,,,,
?? ??????? ??,1397/04/01,28,108,77,6,70,88,108,,,1,,,
?? ??????? ??,1397/04/02,30,95,84,7,63,83,95,,1,,,,
?? ??????? ??,1397/04/03,30,87,91,7,68,90,90,,1,,,,
?? ??????? ??,1397/04/04,30,115,84,8,75,99,115,,,1,,,
?? ??????? ??,1397/04/05,31,90,73,8,70,93,93,,1,,,,
?? ??????? ??,1397/04/06,29,60,56,6,60,76,76,,1,,,,
