????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
?? ??????? ??,1399/09/21,33,7,70,31,68,127,127,,,1,,,
?? ??????? ??,1399/09/22,30,11,60,24,54,98,98,,1,,,,
?? ??????? ??,1399/09/23,32,9,65,39,66,121,121,,,1,,,
?? ??????? ??,1399/09/24,31,8,59,52,75,134,134,,,1,,,
?? ??????? ??,1399/09/25,26,10,58,44,72,134,134,,,1,,,
?? ??????? ??,1399/09/26,25,10,70,35,75,136,136,,,1,,,
?? ??????? ??,1399/09/27,37,5,74,38,67,134,134,,,1,,,
?? ??????? ??,1399/09/28,31,6,78,46,75,144,144,,,1,,,
?? ??????? ??,1399/09/29,23,10,67,42,62,126,126,,,1,,,
?? ??????? ??,1399/09/30,32,8,64,22,54,108,108,,,1,,,
?? ??????? ??,1399/10/01,30,11,60,39,53,101,101,,,1,,,
?? ??????? ??,1399/10/02,29,13,68,36,64,124,124,,,1,,,
?? ??????? ??,1399/10/03,31,9,75,41,78,146,146,,,1,,,
?? ??????? ??,1399/10/04,29,8,68,53,64,131,131,,,1,,,
?? ??????? ??,1399/10/05,20,15,66,23,39,82,82,,1,,,,
?? ??????? ??,1399/10/06,30,14,66,16,29,53,66,,1,,,,
?? ??????? ??,1399/10/07,39,9,89,44,68,119,119,,,1,,,
?? ??????? ??,1399/10/08,43,8,91,63,73,139,139,,,1,,,
?? ??????? ??,1399/10/09,44,7,93,48,76,145,145,,,1,,,
?? ??????? ??,1399/10/10,43,7,98,65,102,167,167,,,,1,,
?? ??????? ??,1399/10/11,54,7,103,40,102,168,168,,,,1,,
?? ??????? ??,1399/10/12,42,9,97,60,90,160,160,,,,1,,
?? ??????? ??,1399/10/13,46,11,98,38,83,158,158,,,,1,,
?? ??????? ??,1399/10/14,51,8,103,85,87,158,158,,,,1,,
?? ??????? ??,1399/10/15,42,9,103,38,86,151,151,,,,1,,
?? ??????? ??,1399/10/16,29,9,71,33,57,91,91,,1,,,,
?? ??????? ??,1399/10/17,31,11,69,25,67,115,115,,,1,,,
?? ??????? ??,1399/10/18,37,10,88,32,82,144,144,,,1,,,
?? ??????? ??,1399/10/19,33,9,85,36,87,151,151,,,,1,,
?? ??????? ??,1399/10/20,34,13,84,29,79,149,149,,,1,,,
?? ??????? ??,1399/10/21,42,11,93,29,86,153,153,,,,1,,
?? ??????? ??,1399/10/22,51,10,104,38,102,166,166,,,,1,,
?? ??????? ??,1399/10/23,46,8,103,53,107,169,169,,,,1,,
?? ??????? ??,1399/10/24,43,8,100,43,115,174,174,,,,1,,
?? ??????? ??,1399/10/25,42,10,98,43,112,169,169,,,,1,,
?? ??????? ??,1399/10/26,30,12,88,30,93,152,152,,,,1,,
?? ??????? ??,1399/10/27,47,13,88,24,72,119,119,,,1,,,
?? ??????? ??,1399/10/28,30,18,77,21,62,93,93,,1,,,,
?? ??????? ??,1399/10/29,32,17,76,19,58,91,91,,1,,,,
?? ??????? ??,1399/10/30,20,62,55,15,45,65,65,,1,,,,
?? ??????? ??,1399/11/01,29,21,72,49,48,68,72,,1,,,,
?? ??????? ??,1399/11/02,24,17,60,32,51,78,78,,1,,,,
